"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of bugs"
"L812","DefaultConfigurationFactory.java","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","L811","4","0","49","1","932","1","0","1"
"L813","DisplayBitmapTask.java","library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java","L811","4","0","41","1","932","1","0","2"
"L814","DisplayImageOptions.java","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","L811","1","0","128","1","932","1","0","1"
"L815","ImageDecoder.java","library/src/com/nostra13/universalimageloader/core/ImageDecoder.java","L811","27","0","125","1","932","1","0","1"
"L816","ImageLoader.java","library/src/com/nostra13/universalimageloader/core/ImageLoader.java","L811","40","0","251","1","932","1","0","4"
"L817","ImageLoaderConfiguration.java","library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java","L811","21","0","204","1","932","1","0","1"
"L818","ImageLoadingInfo.java","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","L811","1","0","25","1","932","1","0","0"
"L819","LoadAndDisplayImageTask.java","library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java","L811","48","0","258","1","932","1","0","7"
"L2828","FileUtils.java","library/src/com/nostra13/universalimageloader/utils/FileUtils.java","L2827","3","0","19","1","932","1","0","0"
"L2829","L.java","library/src/com/nostra13/universalimageloader/utils/L.java","L2827","4","0","40","1","932","1","0","0"
"L2830","StorageUtils.java","library/src/com/nostra13/universalimageloader/utils/StorageUtils.java","L2827","12","0","56","1","932","1","0","3"
"L116","BaseDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java","L115","3","0","32","1","932","1","0","0"
"L117","DiscCacheAware.java","library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java","L115","1","0","7","1","932","1","0","0"
"L118","LimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java","L115","9","0","86","1","932","1","0","2"
"L416","BaseMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java","L415","2","0","36","1","932","1","0","2"
"L417","LimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java","L415","7","0","58","1","932","1","0","1"
"L418","MemoryCacheAware.java","library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java","L415","1","0","9","1","932","1","0","0"
"L822","FailReason.java","library/src/com/nostra13/universalimageloader/core/assist/FailReason.java","L821","1","0","4","1","932","1","0","0"
"L823","FlushedInputStream.java","library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java","L821","4","0","26","1","932","1","0","0"
"L824","ImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingListener.java","L821","1","0","9","1","932","1","0","0"
"L825","ImageScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java","L821","1","0","15","1","932","1","0","0"
"L826","ImageSize.java","library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java","L821","1","0","20","1","932","1","0","0"
"L827","MemoryCacheUtil.java","library/src/com/nostra13/universalimageloader/core/assist/MemoryCacheUtil.java","L821","8","0","55","1","932","1","0","0"
"L828","PauseOnScrollListener.java","library/src/com/nostra13/universalimageloader/core/assist/PauseOnScrollListener.java","L821","8","0","46","1","932","1","0","1"
"L829","QueueProcessingType.java","library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java","L821","1","0","4","1","932","1","0","0"
"L830","SimpleImageLoadingListener.java","library/src/com/nostra13/universalimageloader/core/assist/SimpleImageLoadingListener.java","L821","1","0","16","1","932","1","0","0"
"L831","ViewScaleType.java","library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java","L821","9","0","22","1","932","1","0","0"
"L1779","BitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java","L1778","1","0","6","1","932","1","0","0"
"L1780","FadeInBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/FadeInBitmapDisplayer.java","L1778","1","0","20","1","932","1","0","0"
"L1781","FakeBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/FakeBitmapDisplayer.java","L1778","1","0","11","1","932","1","0","0"
"L1782","RoundedBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java","L1778","2","0","43","1","932","1","0","2"
"L1783","SimpleBitmapDisplayer.java","library/src/com/nostra13/universalimageloader/core/display/SimpleBitmapDisplayer.java","L1778","1","0","10","1","932","1","0","0"
"L2041","HttpClientImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java","L2040","1","0","23","1","932","1","0","1"
"L2042","ImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java","L2040","5","0","29","1","932","1","0","1"
"L2043","URLConnectionImageDownloader.java","library/src/com/nostra13/universalimageloader/core/download/URLConnectionImageDownloader.java","L2040","1","0","27","1","932","1","0","0"
"L182","FileCountLimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/FileCountLimitedDiscCache.java","L181","1","0","17","1","932","1","0","0"
"L183","LimitedAgeDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/LimitedAgeDiscCache.java","L181","5","0","47","2","1","2","1","1"
"L184","TotalSizeLimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/TotalSizeLimitedDiscCache.java","L181","2","0","23","1","932","1","0","0"
"L185","UnlimitedDiscCache.java","library/src/com/nostra13/universalimageloader/cache/disc/impl/UnlimitedDiscCache.java","L181","1","0","17","1","932","1","0","0"
"L358","FileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator.java","L357","1","0","4","1","932","1","0","0"
"L359","HashCodeFileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/HashCodeFileNameGenerator.java","L357","1","0","7","1","932","1","0","0"
"L360","Md5FileNameGenerator.java","library/src/com/nostra13/universalimageloader/cache/disc/naming/Md5FileNameGenerator.java","L357","2","0","26","1","932","1","0","0"
"L477","FIFOLimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/FIFOLimitedMemoryCache.java","L476","3","0","48","1","932","1","0","0"
"L478","FuzzyKeyMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/FuzzyKeyMemoryCache.java","L476","3","0","41","1","932","1","0","0"
"L479","LargestLimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LargestLimitedMemoryCache.java","L476","6","0","68","1","932","1","0","0"
"L480","LimitedAgeMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LimitedAgeMemoryCache.java","L476","4","0","46","1","932","1","0","0"
"L481","LRULimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/LRULimitedMemoryCache.java","L476","3","0","63","1","932","1","0","0"
"L482","UsingFreqLimitedMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/UsingFreqLimitedMemoryCache.java","L476","8","0","79","1","932","1","0","0"
"L483","WeakMemoryCache.java","library/src/com/nostra13/universalimageloader/cache/memory/impl/WeakMemoryCache.java","L476","1","0","11","1","932","1","0","0"
"L834","BlockingDeque.java","library/src/com/nostra13/universalimageloader/core/assist/deque/BlockingDeque.java","L833","1","0","42","1","932","1","0","0"
"L835","Deque.java","library/src/com/nostra13/universalimageloader/core/assist/deque/Deque.java","L833","1","0","36","1","932","1","0","0"
"L836","LIFOLinkedBlockingDeque.java","library/src/com/nostra13/universalimageloader/core/assist/deque/LIFOLinkedBlockingDeque.java","L833","1","0","13","1","932","1","0","0"
"L837","LinkedBlockingDeque.java","library/src/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java","L833","74","0","632","1","932","1","0","0"
"L2919","BaseActivity.java","sample/src/com/nostra13/example/universalimageloader/BaseActivity.java","L2918","4","0","39","1","932","2","0","0"
"L2920","Constants.java","sample/src/com/nostra13/example/universalimageloader/Constants.java","L2918","1","0","85","1","932","1","0","0"
"L2921","HomeActivity.java","sample/src/com/nostra13/example/universalimageloader/HomeActivity.java","L2918","1","0","33","1","932","1","0","0"
"L2922","ImageGalleryActivity.java","sample/src/com/nostra13/example/universalimageloader/ImageGalleryActivity.java","L2918","2","0","60","1","932","1","0","0"
"L2923","ImageGridActivity.java","sample/src/com/nostra13/example/universalimageloader/ImageGridActivity.java","L2918","2","0","72","1","932","1","0","1"
"L2924","ImageListActivity.java","sample/src/com/nostra13/example/universalimageloader/ImageListActivity.java","L2918","2","0","82","1","932","1","0","1"
"L2925","ImagePagerActivity.java","sample/src/com/nostra13/example/universalimageloader/ImagePagerActivity.java","L2918","6","0","117","1","932","1","0","0"
"L2926","UILApplication.java","sample/src/com/nostra13/example/universalimageloader/UILApplication.java","L2918","1","0","23","1","932","1","0","0"
"L2976","ExtendedImageDownloader.java","sample/src/com/nostra13/example/universalimageloader/downloader/ExtendedImageDownloader.java","L2975","3","0","45","1","932","1","0","0"
"L3368","UILWidgetProvider.java","sample/src/com/nostra13/example/universalimageloader/widget/UILWidgetProvider.java","L3367","2","0","52","1","932","1","0","0"
